sourceid,dstid,hod,ride time
103,3,9,3.786
20,102,13,37.886
98,6,7,11.8955
76,130,17,48.66533333
81,20,5,20.04383333
80,30,5,16.905
39,138,6,16.3025
41,108,2,14.989
132,91,16,25.28416667
139,21,16,17.26083333
125,56,9,19.34833333
128,26,9,13.67533333
123,76,9,19.47466667
134,71,16,15.13233333
119,99,15,27.2555
40,118,2,23.91433333
136,51,16,17.92283333
122,86,9,7.743
135,61,16,17.77233333
124,66,9,14.59066667
97,59,8,28.09416667
96,69,8,2.635666667
93,99,8,23.47116667
121,96,9,28.78816667
98,49,8,10.86733333
58,66,23,10.26183333
59,56,23,16.25633333
127,36,9,25.49766667
56,86,23,19.05983333
95,79,8,5.633666667
70,6,23,17.46
138,31,16,37.96966667
68,42,6,10.746
66,62,6,7.793
67,52,6,5.437
55,96,23,19.45883333
117,137,18,5.295166667
94,89,8,4.987333333
129,16,9,31.15166667
69,32,6,18.8585
106,6,1,15.59016667
119,117,18,35.38333333
57,76,23,27.49233333
127,132,2,11.85983333
128,122,2,4.7875
50,44,1,15.96783333
39,128,13,19.51116667
38,138,13,23.21666667
53,14,1,6.630833333
129,112,2,13.52366667
52,24,1,22.26433333
118,127,18,36.23533333
126,46,9,31.868
51,34,1,20.71283333
109,136,12,24.6625
122,57,13,18.09583333
121,67,13,8.403666667
120,77,13,15.68166667
125,27,13,20.0225
87,72,2,23.02616667
86,82,2,9.925833333
126,17,13,13.13633333
89,52,2,6.099833333
123,47,13,10.33216667
88,62,2,21.199
131,100,6,29.92533333
64,82,6,6.129
124,37,13,27.818
85,92,2,33.0845
65,72,6,26.90833333
129,59,4,15.74716667
127,79,4,5.701166667
128,69,4,7.503166667
94,23,14,21.206
95,13,14,16.33616667
93,33,14,12.05133333
37,133,23,2.58
39,113,23,15.38483333
61,104,16,18.2365
60,114,16,37.47033333
140,9,4,22.0785
140,57,1,10.053
141,47,1,27.09266667
44,11,2,9.632
43,21,2,2.1665
42,31,2,8.7665
40,51,2,11.65516667
113,130,21,21.3835
115,110,21,13.78383333
114,120,21,26.598
112,140,21,17.8135
77,60,12,9.821333333
74,90,12,13.83066667
75,80,12,23.54233333
79,40,12,14.3515
116,100,21,33.2555
27,4,13,24.02116667
76,70,12,25.26383333
126,89,4,17.64266667
71,120,21,15.83333333
73,100,21,22.8915
70,130,21,13.474
125,99,4,21.4255
129,26,0,5.5995
128,36,0,22.63583333
39,2,16,31.534
135,93,1,22.90766667
137,73,1,19.55
90,109,3,1.7545
139,53,1,2.114
125,66,0,4.408833333
136,83,1,23.00633333
120,19,1,25.46733333
126,56,0,21.26383333
89,120,6,21.85733333
87,140,6,15.48816667
68,135,19,27.4445
88,130,6,15.129
122,96,0,2.917166667
9,96,14,19.11833333
69,125,19,26.6575
127,46,0,10.30933333
83,9,8,29.75116667
69,89,8,34.6805
88,137,7,3.506833333
14,4,23,15.923
89,127,7,3.413833333
124,76,0,23.93516667
37,31,14,12.17366667
39,11,14,20.24033333
32,81,14,35.9925
88,70,5,10.01816667
132,82,18,15.16283333
139,12,18,6.120166667
87,80,5,14.82166667
33,71,14,21.2575
86,90,5,13.725
135,52,18,34.5945
31,91,14,9.637166667
24,2,4,16.4145
35,51,14,28.78883333
126,134,13,9.855833333
129,104,13,26.62716667
127,124,13,22.52716667
138,22,18,12.40866667
128,114,13,37.94116667
134,62,18,28.08333333
36,41,14,35.48683333
21,56,16,34.76716667
25,16,16,7.4505
20,66,16,22.02783333
136,42,18,16.4795
112,28,2,10.7675
113,18,2,11.607
111,38,2,21.90133333
24,26,16,22.37266667
23,36,16,35.302
38,21,14,3.4835
123,93,12,17.73366667
129,33,12,3.766666667
52,107,5,22.47333333
128,43,12,11.05433333
131,92,18,37.4295
34,61,14,40.1055
124,83,12,18.59983333
125,73,12,9.5655
126,63,12,27.025
50,119,6,23.72166667
51,109,6,22.018
